存货编号,规格型号,期末
1161.0,SJAL13-70-P6.5,3.0
1162.0,SJAL13-70-P6.58,2.0
1164.0,SJAL13-72-P12.05,2.0
1166.0,APJAS10-100-P8,2.0
1167.0,SJAL13-77-P12.8,11.0
1168.0,SJAL13-77-P9.6,1.0
1169.0,SJAL13-78-P10.05,2.0
1170.0,SJAL13-80-P10.0,1.0
1171.0,SJAL13-80-P10.0,1.0
1173.0,SJAL13-80-P10.05-SKC,1.0
1175.0,SJAL13-80-P10.10,1.0
1176.0,SJAL13-80-P10.18,1.0
1177.0,SJAL13-80-P6.04,1.0
1178.0,SJAL13-80-P6.05,4.0
1179.0,SJAL13-80-P6.10,1.0
1180.0,SJAL13-80-P6.5,1.0
1181.0,SJAL13-80-P6.5,2.0
1182.0,SJAL13-80-P6.58,2.0
1184.0,APJES13-80-P12.15-W7-SKC,2.0
1185.0,SJAL13-80-P8.5,5.0
1186.0,APJEL13-90-P12.15-W7.00-SKC,2.0
1187.0,SJAL16-80-P12.00,2.0
1188.0,SJAL13-80-P9.15,1.0
1189.0,SJAL13-82-P10.2,1.0
1190.0,SJRL13-80-P9.15-W8.00-R1.00-SKC,2.0
1191.0,SJAL13-85-P8.08,1.0
1192.0,SJAL13-85-P8.08,2.0
1193.0,SJAL13-85-P8.08,2.0
1194.0,SJAL10-80-P6.00,2.0
1195.0,SJAL13-90-P10.0,1.0
1196.0,SJAL13-90-P10.1-SKC,1.0
1197.0,SJAL13-90-P11.6,1.0
1198.0,SJAL13-90-P9.0,1.0
1199.0,SJAL13-90-P9.0,1.0
1200.0,SJAL13-95-P8.05,1.0
1201.0,SJAL13-98-P8.05,1.0
1202.0,SJAL13-LC46-P7.97,1.0
1203.0,SJAL13-LC47-P8.0,1.0
1204.0,SJAL13-LC47-P8.0,1.0
1205.0,SJAL13-LC58-P10.0,1.0
1206.0,SJAL13-LC58-P10.05,1.0
1207.0,SJAL13-LC66-P9.6,1.0
1208.0,SJAL13-LC68-P11.2,1.0
1209.0,SJAL13-LC95-P7.20,1.0
1210.0,SJAL16+-70-P15.99,2.0
1211.0,SJAL16-59-P14.05,2.0
1212.0,SJAL16-60-P14.05,2.0
1213.0,SJAL16-63-P14.5,2.0
1214.0,SJAL16-64-P14.5,2.0
1215.0,SJAL16-75-P10.05,3.0
1216.0,SJAL16-75-P10.26,3.0
1217.0,SJAL16-80-P13,2.0
1218.0,SJAL16-80-P13.0,2.0
1219.0,SJAL16-80-P13.08,1.0
1220.0,SJAL16-80-P13.08,2.0
1221.0,SJAL16-80-PC8.34,1.0
1222.0,SJAL16-83-P12.5,2.0
1223.0,SJAL16-85-P13.1-SKC,1.0
1224.0,SJAL16-86-P13.1,2.0
1225.0,SJAL16-86-P13-SKC,1.0
1226.0,SJAL16-90-P10.05,1.0
1227.0,SJAL16-90-P10.05,3.0
1228.0,SJAL13-80-P9.00,2.0
1229.0,SJAL13-80-P11.00,2.0
1230.0,SJAL-C32-90-P30.05,2.0
1231.0,SJAL16-LC85-PC8.76,1.0
1232.0,SJAL20-60-P14.75,1.0
1233.0,SJAL20-73-P16,1.0
1235.0,SJAL20-80-P19.90-KC,2.0
1236.0,SJAL20-90-P17.05,2.0
1237.0,SJAL20-LC73-P16.00,2.0
1239.0,SJAL6-65-P4.03,1.0
1240.0,SJAL6-LC47-P5.0,1.0
1242.0,SJAL8-45-P7.2,2.0
1243.0,SJAL8-47-P6.6,3.0
1244.0,SJAL8-60-P6.0,1.0
1245.0,SJAL8-60-P6.1,1.0
1246.0,SJAL8-60-P6.1,1.0
1247.0,SJAL8-60-P6.7,1.0
1248.0,SJAL8-60-P7.05,1.0
1249.0,SJAL8-60-P7.05,1.0
1250.0,SJAL8-70-P5.03,1.0
1251.0,SJAL8-70-P5.03,2.0
1252.0,SJAL8-73-P5.05,1.0
1253.0,SJAL8-80-P4.56,1.0
1254.0,SJAL8-80-P4.96-SKC,2.0
1255.0,SJAL8-80-P4.98,1.0
1256.0,SJAL8-80-P4.98,1.0
1257.0,SJAL8-80-P4.98,4.0
1258.0,SJAL8-80-P5.05,1.0
1259.0,SJAL8-80-P5.05,1.0
1260.0,SJAL8-90-P7.00,2.0
1263.0,SJAL8-80-P5.56,1.0
1264.0,SJAL8-80-P5.56,1.0
1265.0,SJAL8-80-P5.56,1.0
1266.0,SJAL8-80-P5.56,2.0
1267.0,SJAL8-80-P5.56,2.0
1268.0,SJAL8-80-P5.56,3.0
1269.0,SJAL20-80-P15.00,2.0
1270.0,SJAL8-80-P6.06,1.0
1272.0,SJAL8-90-P5.05,1.0
1273.0,SJAL8-90-P5.05,3.0
1274.0,SJAL8-LC45-P6.55,2.0
1275.0,SJAL8-LC45-P7.1,1.0
1276.0,SJAL8-LC47-P6.6,3.0
1277.0,SJAL8-LC57-P6.15,6.0
1278.0,SJAL8-LC63-P6.1,1.0
1279.0,SJAL8-LC63-P6.1,1.0
1280.0,SJAL8-LC73-P5.05,2.0
1281.0,SJAL-C13-60-P7,2.0
1282.0,SJAL-C13-70-P10.0,3.0
1283.0,SJAL-C13-70-P10.0,3.0
1284.0,SJAL-C13-90-P7.0,1.0
1285.0,SJALC20-70-P16.0,4.0
1286.0,SJAL-C38-90-P30.0,1.0
1287.0,SJEL16-80-P12.15-W7.00-SKC,3.0
1288.0,SJAS10-60-P6.58,1.0
1289.0,SJAS10-60-P8.0,1.0
1290.0,SJAS10-65-P4,1.0
1291.0,SJAS10-70-P4.00,2.0
1292.0,SJAS10-70-P6.0,1.0
1293.0,SJAS10-70-P6.14-BC,1.0
1294.0,SJAS10-70-P6.14-BC,2.0
1295.0,SJAS10-80-P5.03,1.0
1296.0,SJAS10-80-P6.03,1.0
1297.0,SJAS10-80-P6.03,1.0
1298.0,SJAS10-80-P6.1,1.0
1299.0,SJEL 16-80-P12.15-W7.00-SKC,2.0
1300.0,SJAS10-80-P6.10,1.0
1301.0,SJAS10-80-P7.1,1.0
1302.0,SJAS10-80-P8.03,2.0
1303.0,SJAS10-80-P8.03,2.0
1304.0,SJAS10-80-P8.04,1.0
1306.0,SJAS10-80-P8.10,1.0
1307.0,SJAS10-80-P9.04,1.0
1308.0,SJAS10-80-P9.04,1.0
1309.0,SJAS10-80-P90,1.0
1310.0,SJAS10-85-P7.2-BC,1.0
1311.0,SJAS10-90-P4.1,1.0
1312.0,SJAS10-LC45-P8.0,1.0
1313.0,SJAS10-LC47-P4.47,2.0
1314.0,SJAS10-LC55-P6.6,1.0
1315.0,APAS16-90-P13.05,2.0
1316.0,SJAS10-LC56-P8.1,1.0
1317.0,SJAS10-LC61-P8.08-BC,1.0
1318.0,SJAS10-LC65-P4,1.0
1319.0,SJAS10-LC77-P8.0,1.0
1320.0,SJAL10-90-P8.00,2.0
1321.0,SJAS13-50-P9.2,1.0
1322.0,SJAS13-60-P12.99,1.0
1323.0,SJAS13-65-P11.2,1.0
1324.0,SJAS13-70-P10.0,1.0
1325.0,SJAS13-80-P10.04,2.0
1326.0,SSJAL10-80-P4.06,2.0
1327.0,SJAS13-80-P12.04,2.0
1328.0,SJAS13-80-P12.04,1.0
1329.0,SJAS13-80-P6.1,1.0
1330.0,SJAS13-80-P7.1,1.0
1331.0,SJAS13-80-P7.10,1.0
1332.0,SJAS13-80-P8.0,1.0
1333.0,SJAS13-80-P9.04,1.0
1334.0,SJAS13-90-P11.6,3.0
1335.0,SJAS13-LC43-P10.28,11.0
1336.0,SJAS13-LC45-P8.0,1.0
1337.0,SJAS13-LC5.6-P10.1,1.0
1338.0,SJAS13-LC54-P6.5,1.0
1339.0,SJAS13-LC56-P10.0,1.0
1340.0,SJAS13-LC56-P10.2,1.0
1341.0,SJAS13-LC58-P10.0,1.0
1342.0,SJAS13-LC65-P8.5,1.0
1343.0,SJAS13-LC77-P7.60,1.0
1344.0,SJAS13-LC94-P7.18,1.0
1345.0,SJAS16-53-P11.05,1.0
1346.0,SJAS16-70-P13.15,2.0
1347.0,SJAS16-77-P13.05,3.0
1348.0,SJAS16-80-P11.1,1.0
1349.0,SJAS16-80-P11.1,1.0
1350.0,SJAS16-80-P11.5,1.0
1351.0,SJAS16-80-P11.5,2.0
1352.0,SJAS16-83-P12.5,1.0
1353.0,APJAL20-90-P18.15,2.0
1354.0,SJAS16-90-P14.07,2.0
1355.0,SJAS16-90-P14.07,4.0
1356.0,SJAS16-LC53-P11.05,3.0
1357.0,SJAS16-LC75-P10.0,1.0
1358.0,SJAS16-LC75-P10.26,1.0
1359.0,SJAS16-LC83-P12.5,1.0
1360.0,SJAS16-LC86-P13.0,1.0
1361.0,SJAS20-70-P13.7,1.0
1362.0,SJAL 10-80-P6.00,2.0
1363.0,SJAS6-70-P5.05,1.0
1364.0,SJAS6-78-P2.8-SKC,1.0
1365.0,SJAS-70-P5.05,1.0
1366.0,SJAS8-40-P6.55,4.0
1367.0,SJAS8-50-P7.1,1.0
1368.0,SJAS8-60-P4.5,1.0
1369.0,SJAS8-60-P5,1.0
1370.0,SJAS8-60-P5.5-SKC,1.0
1371.0,SJAS8-60-P6.1,1.0
1372.0,SJAS8-60-P6.1,2.0
1373.0,SJAS8-80-P4.0,1.0
1374.0,APJAL16-90-P12.05,2.0
1375.0,SJAS8-LC42-P6.2,2.0
1376.0,SJAS8-LC55-P9.56,1.0
1377.0,SJAS8-LC65-P5.4,1.0
1378.0,SJAS8-LC85-P5.65,1.0
1379.0,SJAS-C10-90-P4.1,1.0
1380.0,SJAS-C10-90-P4.1,1.0
1381.0,SJAS-C10-90-P4.1,1.0
1382.0,SJAS-C10-90-P4.1,1.0
1383.0,SJAS-C20-70-P16.0,2.0
1385.0,SJAX10-80-P8.05,1.0
1386.0,SJAX10-80-P8.05,1.0
1387.0,SJAX10-80-P8.05,1.0
1388.0,SJAX10-80-P9.15,1.0
1389.0,SJAX10-80-P9.15,4.0
1392.0,SJAX10-LC63-P8.03,1.0
1393.0,SJAX10-LC63-P8.03,1.0
1394.0,SJAX10-LC78-P6.03,1.0
1395.0,SJAX13-67-P6.55,2.0
1396.0,SJAX13-78-P9.0,1.0
1397.0,SJAX13-78-P9.0,1.0
1398.0,SJAX13-80-P11.98,3.0
1399.0,SJAX13-80-P8.5,2.0
1400.0,SJAX13-80-P8.5,3.0
1401.0,SJAX13-85-P10.05,2.0
1402.0,SJAX13-85-P10.05,2.0
1403.0,SJAX13-85-P10.05,4.0
1404.0,SJAX13-85-P10.2,2.0
1405.0,SJAX13-86-P10.05,1.0
1406.0,SJAX13-86-P10.1,1.0
1407.0,SJAX13-90-P8.03,1.0
1408.0,SJAX13-LC85-P10.05,2.0
1409.0,SJAX13-LC86-P10.10,1.0
1410.0,SJAX13-LC95-P6.58-BC-SKC,1.0
1412.0,SJAX16-100-P10.05,1.0
1413.0,SJAX5-LC44-P3.05,2.0
1414.0,SJAX8-100-P6.5,2.0
1415.0,SJAX8-65-P6.7,2.0
1416.0,SJAX8-70-P6.0,1.0
1417.0,SJAX8-70-P6.5,1.0
1418.0,SJAX8-70-P6.50,1.0
1419.0,SJAX8-LC45-P6.65,5.0
1420.0,SJAX8-LC57-P6.0-BC,1.0
1421.0,SJE16-80-P12.08-W7.08,1.0
1422.0,SJE16-88-P12.1-W8.2,2.0
1423.0,SJEL10-100-P8.05-W6.05,4.0
1424.0,SJEL10-50-P7.0-W6.3-SKC,1.0
1425.0,SJEL10-60-8.4-W6.3-SKC,1.0
1426.0,SJEL10-70-P9.05-W5.05,2.0
1427.0,SJEL10-80.0-P6.68-W4.68-SKC,1.0
1428.0,SJEL10-80-P7.4-W5.5-SKC,1.0
1429.0,SJEL10-80-P8.36-W6.16,1.0
1430.0,SJEL10-80-P9.05-W5.05,2.0
1431.0,SJEL10-93-P8.05-W6.05,1.0
1432.0,APAS10-80-P7,2.0
1433.0,SJEL13-48-P10.45-W8.05,1.0
1434.0,SJEL13-48-P10.48-W8.05,2.0
1435.0,SJEL13-50-P11.3-W8.7-SKC,1.0
1436.0,SJEL13-52-P11-W6,1.0
1437.0,SJEL13-52-P11-W6-SKC,2.0
1438.0,SJEL13-60-P10.05-W8.05-SKC,2.0
1439.0,SJEL13-60-P10.15-W8.35,1.0
1442.0,SJEL13-60-P12.0-W7.0,1.0
1443.0,SJEL13-60-P12.14-W9.0-SKC,1.0
1444.0,SJEL13-60-P12.15-W9.05-SKC,1.0
1445.0,SJEL13-60-P12.1-W8.05-SKC,1.0
1446.0,SJEL13-60-P12.1-W8.05-SKC,1.0
1447.0,SJEL13-60-P8.4-W6.3-SKC,1.0
1448.0,SJEL13-60-P8.8-W6.08-SKC,1.0
1449.0,SJEL13-60-P8.8-W6.18-SKC,1.0
1450.0,SJEL13-70-P10.06-W8.06-SKC,1.0
1451.0,SJEL13-70-P10.06-W8.06-SKC,1.0
1452.0,SJEL13-70-P10.06-W8.06-SKC,1.0
1453.0,SJEL13-90-P12.15-W10.00-SKC,2.0
1454.0,APAS10-90-P7,2.0
1455.0,SJEL13-75-P12.3-W7.1,1.0
1456.0,SJEL13-77-P10-W8-SKC,2.0
1457.0,SJEL13-78-P10.15-W8,2.0
1458.0,SJEL13-80-P10.15-W8,1.0
1459.0,SJEL13-80-P11.05-W6.05,1.0
1460.0,SJEL13-80-P11-W8,2.0
1461.0,SJEL13-80-P12-W10,3.0
1462.0,SJEL13-80-P9.05-W7.05-SKC,1.0
1465.0,SJEL13-90.0-P12.0-W7.0,4.0
1466.0,SJEL13-90-P10.0-W8,1.0
1467.0,SJEL13-90-P10.15-W8.0-SKC,1.0
1468.0,SJEL13-90-P10-W8,1.0
1469.0,APAS10-90-P7-SKC,2.0
1470.0,SJEL13-90-P12.1-W7.1,2.0
1471.0,SJEL13-90-P12-W7,1.0
1473.0,SJEL13-LC48-P10.45-W8.05-SKC,1.0
1474.0,SJEL13-LC55-P10.0-W8.0-SKC,2.0
1475.0,SJEL13-LC65-P12.0-W7.0-BC-SKC,1.0
1476.0,SJEL13-LC65-P12.10-W7.1-SKC,1.0
1477.0,SJEL13-LC72-P9.14-W6.24-SKC,1.0
1478.0,SJEL13-LC72-P9.14-W8.04-SKC,1.0
1479.0,SJEL13-LC73-P12.1-W7.0-SKC,1.0
1480.0,SJEL13-LC77-P10.0-W8.0,2.0
1481.0,SJEL13-LC82-P12.1-W8-SKC,1.0
1482.0,SJEL16-100-P11.98-W7.0,2.0
1483.0,SJEL16-100-P12.25-W7.10-KC45,1.0
1484.0,SJEL16-100-P12.25-W7.1-KC20,2.0
1485.0,SJEL16-100-P12.25-W7.1-KC30,1.0
1486.0,SJEL16-100-P12.40-W7.8-SKC,1.0
1487.0,APJAS13-80-P8.00,2.0
1488.0,SJEL16-100-P12.5-W8.0,3.0
1489.0,SJEL16-60-P12.15-W10.05-SKC,1.0
1490.0,SJEL16-60-P12.6-W9.2,1.0
1491.0,SJEL16-60-P12.6-W9.2,1.0
1492.0,SJEL16-60-P12.6-W9.2,1.0
1493.0,SJEL16-60-P12.6-W9.2-SKC,1.0
1494.0,SJEL16-60-P12-W7-SKC,1.0
1495.0,SJEL16-65-P12.5-W11-SKC,1.0
1496.0,SJEL16-67-P13.4-W9.1-SKC,1.0
1497.0,SJEL16-68-P12-W7-SKC,1.0
1498.0,SJEL16-70-P11.95-W7.1,2.0
1499.0,SJEL16-73-P12.4-W10.05-SKC,1.0
1500.0,SJEL16-75-P10.26-W8.76-SKC,1.0
1501.0,SJEL16-80-P11.55-W7.4,1.0
1502.0,SJEL16-80-P11.55-W7.4,1.0
1503.0,SJEL16-80-P12.08-W7.08,1.0
1504.0,SJEL16-80-P12.08-W7.08,2.0
1505.0,SJEL16-83-P12.08-W7.08-SKC,1.0
1506.0,SJEL16-85-P12-W10-SKC,1.0
1507.0,SJEL16-88-P12.1-W8.2,1.0
1508.0,SJEL16-90-P12.1-W7.05,2.0
1509.0,SJEL16-90-P12.1-W7.05,3.0
1510.0,SJEL16-90-P14.15-W12.05,1.0
1511.0,SJEL16-90-P14.15-W12.05,2.0
1512.0,SJEL16-98-P12.0-W7.0,2.0
1513.0,SJEL16-LC105-P110-W7.1-SKC,1.0
1514.0,SJEL16-LC105-P12.1-W8.0,2.0
1515.0,SJEL16-LC45-P12.65-W7.8,1.0
1516.0,SJEL16-LC55-P10.3-W8.1-BC-SKC,1.0
1517.0,SJEL16-LC55-P10.3-W8.1-SKC,1.0
1518.0,SJEL16-LC75-P12.3-W7.1-SKC,2.0
1519.0,SJEL16-LC88P12.05-W8.1,2.0
1520.0,SJEL20-LC85-P11.98-W7.0,2.0
1521.0,SJEL-C13-LC87-P12.0-W7.0-KC45,1.0
1522.0,SJEL-C20-80-P16.4-W10,1.0
1523.0,SJEL-C32-LC73-P30.0-W15,2.0
1524.0,SJELX10-95-P9-W6.5-SKC,1.0
1525.0,SJES10-50-P9.1-W7.1-SKC,2.0
1526.0,SJES10-60-P8.4-W6.3,1.0
1527.0,SJES10-80-P9.3-W8.0,1.0
1528.0,SJES10-LC55-P8.08-W6.58,1.0
1529.0,SJES10-LC63-P8.4-W6.2-SKC,1.0
1530.0,SJES10-LC63-P8.4-W6.2-SKC,1.0
1531.0,SJES13-50-P11.3-W8.7-SKC,1.0
1532.0,SJES13-60-P10.0-W6.1-SKC,1.0
1533.0,SJES13-70-P12-W7-SKC,5.0
1534.0,SJES13-80-P10.14-W8.0,1.0
1535.0,SJES13-80-P10.15-W8.0,2.0
1536.0,SJES13-80-P11.2-W7.6,1.0
1537.0,SJES13-80-P11.2-W7.6,1.0
1538.0,SJES13-80-P11.2-W7.6,1.0
1539.0,SJES13-80-P11.2-W7.6-KC0,1.0
1540.0,APJES16-80-P14.15-W10-SKC,1.0
1541.0,SJES13-80-P12.1-W7.05,1.0
1542.0,SJES13-80-P12.1-W7.05,1.0
1544.0,SJES13-80-P12.3-W7.1-SKC,1.0
1545.0,SJES13-80-P12.1-W7.05,2.0
1546.0,SJES13-90.0-P10.15-W8.05-KC90-TKC,3.0
1547.0,SJES13-LC45-P9.56-W8.86-SKC,1.0
1548.0,SJES13-LC52-P11.0-W6.0-BC-SKC,1.0
1549.0,SJES13-LC55-P12.14-W7.1-SKC,1.0
1550.0,SJES13-LC65-P12-W7-BC-SKC,1.0
1551.0,SJES13-LC65-P12-W7-SKC,1.0
1552.0,SJES13-LC75-P9.5-W8.5-SKC,1.0
1553.0,SJES13-LC75-P9.5-W8.5-SKC,1.0
1554.0,SJES13-LC77-P12.05-W7.05-BC-SKC,3.0
1556.0,SJES16-100-P12.15-W8.0,2.0
1557.0,SJES16-100-P12.5-W8.0,3.0
1558.0,SJES16-100-P14.15-W11.65-KC20,2.0
1559.0,SJES16-100-P14.15-W11.65-KC45,1.0
1560.0,SJES16-120-P10.05-W8.05,1.0
1561.0,SJES16-120-P10.05-W8.05,1.0
1562.0,SJES16-50-P12.4-W7.3,1.0
1563.0,SJES16-50-P12.4-W8.08-BC-SKC,1.0
1564.0,SJES16-67-P13.5-W9-SKC,3.0
1565.0,SJES16-70-P12-W7-SKC,1.0
1566.0,SJES16-70-P12-W7-SKC,2.0
1567.0,SJES16-70-P13.0-W7.5-KC90,1.0
1568.0,SJES16-70-P13.1-W7.6-KC90,1.0
1569.0,SJES16-80-P12.1-W7.05-SKC,1.0
1571.0,SJES16-80-P13.2-W10.2,2.0
1572.0,SJES16-80-P14.3-W13.1,1.0
1573.0,SJES16-80-P14.3-W13.1,2.0
1574.0,SJES16-80-P14.3-W13.15,1.0
1575.0,SJES16-85-P15.5-W12,1.0
1576.0,SJES16-90-12.25-W7.1-KC90,3.0
1577.0,SJES16-90-P11.97-W6.52-KC90,1.0
1578.0,SJES16-90-P11.97-W6.53-KC90,1.0
1579.0,SJES16-90-P11.97-W6.53-KC90,2.0
1580.0,SJES16-90-P12.15-W7.1-KC45,1.0
1581.0,SJES16-90-P12.25-W7.10-KC90,1.0
1582.0,SJES16-90-P12.25-W7.1-KC20,2.0
1583.0,SJES16-90-P12.25-W7.1-KC20,3.0
1584.0,SJES16-90-P12.25-W7.1-KC45,1.0
1585.0,SJES16-90-P12.25-W7.1-KC45,1.0
1586.0,SJES16-90-P12.25-W7.1-KC90,2.0
1587.0,SJES16-90-P12.25-W8.03-KC90,1.0
1588.0,SJES16-90-P12.25-W8.03-KC90,1.0
1589.0,SJES16-90-P12.25-W8.03-KC90,1.0
1590.0,SJES16-90-P12.25-W8.03-KC90,1.0
1591.0,SJES16-90-P14.15-W11.65-KC90,1.0
1592.0,SJES16-90-P14.15-W11.65-KC90,2.0
1593.0,SJES16-90-P14.15-W11.6-KC90,1.0
1594.0,SJES16-LC65-P12.5-W11.0-SKC,1.0
1595.0,SJES16-LC66-P12.4-W7.2-BC-SKC,1.0
1596.0,SJES16-LC67-P13.4-W9.1-BC-SKC,1.0
1597.0,SJES16-LC75-P10.26-W8.76-SKC,1.0
1598.0,SJES20-80-P19.97-W16.02-SKC,1.0
1600.0,SJES20-LC46-P16.20-W14.10-SKC,1.0
1601.0,SJES25-80-P20-W16,1.0
1602.0,SJES25-80-P20-W16-KC90,2.0
1603.0,SJES25-80-P20-W16-KC90,2.0
1604.0,SJES25-LC73-P20.0-W15.0,2.0
1605.0,SJES-C13-90-P10.15-W8.05,1.0
1606.0,SJES-C13-90-P10.15-W8.05-KC90,1.0
1607.0,SJES-C13-90-P10.15-W8.05-KC90,1.0
1608.0,SJES-C13-90-P10.15-W8.05-KC90,1.0
1609.0,SJES-C32-73-P30-W15,2.0
1610.0,SJEX10-LC98-P9.0-W6.5-SKC,3.0
1611.0,SJEX13-62-P10.48-W8.08,1.0
1612.0,SJEX13-67-10.4-W8.1-SKC,1.0
1613.0,SJEX13-70-P10.48-W8.08,1.0
1614.0,SJEX13-72-P10.65-W8.35,1.0
1615.0,SJEX13-75-P9.5-W8.5-BC20,1.0
1616.0,SJEX13-80-8.62-W6.06-BC-SKC,1.0
1617.0,SJEX13-80-P9.1-W6.58,2.0
1618.0,SJEX13-90-P9.7-W6.8,2.0
1619.0,SJEX13-LC62-P10.48-W8.08,1.0
1620.0,APES13-80-P12.15-W7-SKC,1.0
1621.0,SJEX13-LC95-P8.3-W6.68-BC-SKC,1.0
1622.0,SJEX16-60-P12.48-W7.18-SKC,1.0
1623.0,SJEX8-LC55-P7.1-W5.5-BC-SKC,1.0
1624.0,SJR10-80-P9.08-W5.08-R1.0,3.0
1625.0,SJRL10-70-P6.15-W4.65,2.0
1626.0,SJRL10-70-P9.1-W5.0-R0.5-SKC,4.0
1627.0,SJRL10-80-P6.58-W4.08-R0.54,1.0
1628.0,SJRL10-80-P6.58-W4.08-R0.54,3.0
1629.0,SJRL10-80-P9.08-W5.08-R1.0,1.0
1630.0,SJRL10-80-P9.0-W5.0-R1.0-SKC,2.0
1631.0,SJRL10-90-P9.1-W5.1-R1.05,1.0
1632.0,SJAL13-90-P7.00,2.0
1633.0,SJRL13-70-P9-WC5-R0.5,1.0
1634.0,SJRL13-75-P8.5-W8.5-R0.5,1.0
1635.0,SJRL13-LC46-P9.20-WC5.20-R1.05,1.0
1636.0,SJRL13-80-P11.15-WC5.00-R1.00-SKC,2.0
1637.0,SJRL16-60-P14.05-W6-R2-SKC,2.0
1638.0,SJRL16-90.0-P11.5-W11.5-R0.5,2.0
1639.0,SJRL8-80-P6.0-W5.0-R0.5-SKC,1.0
1640.0,SJRL8-P6.0-W5.0-R0.5-SKC,1.0
1641.0,SJAL13-80-P8.00,2.0
1642.0,SJRS13-80-P10-W8-R0.5-SKC,1.0
1643.0,SJRS13-80-P9.5-W9.5-R2.3,1.0
1644.0,SJRS13-80-P9.5-W9.5-R2.3,4.0
1645.0,SJRS13-80-P9.5-W9.5-R2.36-KC20,2.0
1646.0,SJRS13-80-P9.5-W9.5-R2.3-KC20,2.0
1647.0,SJRS13-80-P9.5-W9.5-R2.3-KC70,2.0
1648.0,SJRS13-80-P9.5-W9.5-R2.3-KC70,3.0
1650.0,SJRS16-60-P9.5-W9.5-SKC,1.0
1651.0,SJRS20-80-P15.28-W8.0-R1.0,4.0
1652.0,SJRS-C13-77-P8.5-W8.5-R0.5,5.0
1653.0,SJRS-C38-70-P34-W16,8.0
1654.0,SJRS-LC94-P8.2-W6.2,1.0
1655.0,SJRX13-LC82.0-P9.00-WC5.00-R1.00-SKC,2.0
1656.0,SJS20-80-P15.28-W8-R1.0,2.0
1657.0,SJURS-C32-70-P26-W16-R0.5,1.0
1658.0,EKSD16-20-P7.24,2.0
1659.0,SPAL10-50-P7.2,1.0
1660.0,SPAL10-60-P6.3,1.0
1661.0,SPAL10-60-P6.3,2.0
1662.0,SJAL 16-80-P14.00,2.0
1663.0,SPAL10-70-P8.55,1.0
1664.0,SPAL10-70-P8.55,1.0
1665.0,SPAL10-80-P8,1.0
1666.0,SPAL10-80-P8.0,1.0
1667.0,SPAL10-80-P8.0,1.0
1668.0,SPAL10-80-P8.8,1.0
1670.0,SPAL10-LC53-P8.1,1.0
1671.0,SPAL10-LC63-P8.1,1.0
1672.0,SPAL10-LC67-P6.03,1.0
1673.0,SPAL10-LC68-P8.06,1.0
1675.0,SPAL13-44-P9.55,1.0
1676.0,SPAL13-45-P10.8,1.0
1677.0,SPAL13-46-P9.55,2.0
1678.0,SPAL13-50-P7.2,1.0
1680.0,SPAL13-50-P9.15,1.0
1681.0,SPAL13-60-P10.2,1.0
1682.0,SPAL13-60-P10.2,1.0
1683.0,SPAL13-60-P11.5,3.0
1684.0,SPAL13-60-P9.55,1.0
1685.0,SPAL13-60-P9.55,2.0
1686.0,SPAL13-62-P8.5,1.0
1687.0,SPAL13-65-P9.1,1.0
1688.0,SPAL13-70-P10.05,1.0
1689.0,SJAL16-80-P14.1,2.0
1690.0,SPAL13-70-P8.05,3.0
1691.0,SPAL13-70-P8.95,1.0
1692.0,SPAL13-80-P10,2.0
1693.0,SPAL13-80-P10.18,1.0
1694.0,SPAL13-80-P12.9,1.0
1695.0,SSJEL 20-70-P16.1-W12.1,2.0
1696.0,MHD16-35-P9.3,1.0
1698.0,SPAL13-90-P11.2,2.0
1699.0,SPAL13-95-P9.0-W4.5-R1.0,1.0
1700.0,SPAL13-LC55-P8.28,1.0
1701.0,SPAL13-LC62-P8.2,1.0
1702.0,SPAL13-LC62-P8.2,1.0
1703.0,SPAL13-LC76-P9.1,1.0
1705.0,APJRS10-80-P5.65-W4-R1-SKC,2.0
1706.0,SPAL16-60-P12.2,2.0
